title,view_count,word_count
《權力過程》我們互相吐絲織成巨大的繭,0,2771
【UNNATURAL法醫女王】EP.10 旅程的結尾（大結局）,0,3295
《玩命直播》Nerve－爛漫一夜情 怎麼冒險都可以,2006,1614
[BTS/防彈少年團] LOVE YOURSELF 'TEAR' - Fake Love | Intro : Singularity | 전하지 못한 진심 | 134340 | 낙원 | Love Maze | Magic Shop | Airplane pt.2 | Anpanman | So What | Outro : Tear ( 韓中歌詞 | 開箱文 ),26841,1087
教大家怎麼參加抽選韓國團體/明星簽售會  ,51431,2384
【推薦。台北。西門町。日韓KTV】繆斯音樂中心 (180327更新),32674,6181
✿【戲劇】台視●週六偶像劇─高塔公主●第1—9集(分集劇情、角色介紹、劇透心得),6487,6539
【曾莞婷三圍】渾圓飽滿又多汁?曾莞婷素顏比整形還正?真相實在不好說....,0,1049
종현 (SHINee) - U & I (附歌詞/發音/翻譯),804,2669
線上電影免費看 | 毀滅大作戰 Rampage (2018),981,926
"中文歌詞翻譯 ZEDD, Maren Morris, Grey - The Middle",34330,2743
*//畢業季歌單~英文畢業歌曲推薦//,42192,3099
【Movie】阿公歐買尬Dirty Grandpa（雷）未滿18歲拜託不要點進來,3481,1663
Leatherheads　-愛情達陣-,1579,1524
2017下半年必追五大虐心韓劇推薦,89018,5212
"Zedd, Alessia Cara - Stay (Lyrics 中文翻譯)",109980,2879
[電影心得]魍美 （有雷劇透）,5304,2856
"韓劇DVD好好養大的女兒/好好長大的女兒荷娜分集劇情,線上看,結局",0,15648
《世界第一麥方》：灌注人生情感的不凡麵包,9932,2813
影視雜感- 韓劇 狎鷗亭白夜(白夜童話) 全劇雷,7001,2053
[分享] 小巨蛋座位視野，給猶豫要坐哪的你,358720,7194
【SpeXial】個人資料介紹。(180103更新),280853,7664
法比歐身高多少?《二分之一強》法國型男Fabio Grangeon的女友到底是???,0,1866
陸劇心得│ 三生三世十里桃花電視劇，哪三生哪三世？劇情心得（文長、圖多、各種雷）,18697,9138
台劇[MARS戰神]兩個殘缺的靈魂,9894,1959
Mack Daddy 偶像練習生出道曲考核 中文歌詞,3713,1429
MELON跨區下載辦法 (安卓系統適用),59713,704
康斯坦汀：驅魔神探,11685,2147
Passenger – Let her go中文翻譯歌詞,358881,3726
把有線變無線！開箱 MI 小米「藍牙音源接收器」讓 3.5mm 耳機或喇叭都能與智慧型手機斷開鎖練,47895,2700
:空耳:Luis Fonsi - Despacito ft. Daddy Yankee,96060,4604
[V] Maroon 5魔力紅樂團 - Sugar 附中文英文歌詞,814068,2661
BTS/CP/H文【泰正】縱慾,134544,6378
歌詞翻譯｜Avicii - The Nights,135901,2336
誰教你是真虞姬，怎奈我乃假霸王→Farewell My Concubine：霸王別姬,93125,5467
戲說台灣演員檔案,25101,2008
【動漫】逆後宮動畫(1女多男)~盤點大統整(持續更新中),65625,11140
[歌詞中文翻譯] Do You Hear the People Sing? 你可聽見民眾的歌聲？,121817,1531
大叔的愛-REVIVAL,447,1958
介紹+我讀：泡沫之夏,8055,8506
《世界第一麥方》（2013）｜台,15972,3349
久留人心的「楚門的世界」,34355,3195
[170514新增加入官方會員的好處]為了段宜恩勇闖JYP fan's註冊流程+GOT7第四期會員melon ticket加入過程+痞克邦後台好難登的一天...,0,1137
喜福會│自己的價值,14457,5006
Thinking Out Loud. Ed Sheeran. 中文歌詞,433577,2905
犀利心理醫師：席曼寧找出小三薇恩的感情模式問題點,6271,3000
使用調音器幫吉他調音（一）,211989,846
